scenario,ta,seed,rec_rate,corr_piApiB,se_corr_piApiB,nreps
Two-Locus Tennessen,233,42,0.0010722672220103231,0.015767441655316725,0.014143206484832154,5000
Two-Locus Tennessen,233,42,0.0011233240329780276,0.014739753790516253,0.01414342824624432,5000
Two-Locus Tennessen,233,42,0.0011768119524349992,0.028722551637006575,0.014139129004047214,5000
Two-Locus Tennessen,233,42,0.0012328467394420659,-0.013827506401182741,0.014143612576850182,5000
Two-Locus Tennessen,233,42,0.001291549665014884,0.010485876352821114,0.014144187233362674,5000
Two-Locus Tennessen,233,42,0.0013530477745798076,-0.005911980659970187,0.014144717703528063,5000
Two-Locus Tennessen,233,42,0.0014174741629268048,0.02232855902353955,0.014141438371045121,5000
Two-Locus Tennessen,233,42,0.001484968262254465,0.005782230295048711,0.014144728434988168,5000
Two-Locus Tennessen,233,42,0.0015556761439304723,-0.023050424214698068,0.014141206634468502,5000
Two-Locus Tennessen,233,42,0.0016297508346206436,-0.005312756430512664,0.01414476527474716,5000
Two-Locus Tennessen,233,42,0.0017073526474706922,0.004206109194742597,0.01414483977731875,5000
Two-Locus Tennessen,233,42,0.001788649529057435,-0.010559526281166224,0.014144176270461686,5000
Two-Locus Tennessen,233,42,0.001873817422860385,-0.014541120645999368,0.014143469385287781,5000
Two-Locus Tennessen,233,42,0.0019630406500402726,0.02288069330084348,0.014141261785596436,5000
Two-Locus Tennessen,233,42,0.0020565123083486517,-0.005002191110708957,0.014144787931498627,5000
Two-Locus Tennessen,233,42,0.0021544346900318843,0.002435190307962824,0.014144922958709812,5000
Two-Locus Tennessen,233,42,0.0022570197196339213,0.016601214320966978,0.01414301558694506,5000
Two-Locus Tennessen,233,42,0.002364489412645407,0.019439755839909888,0.014142291926945778,5000
Two-Locus Tennessen,233,42,0.0024770763559917113,0.004610818864548042,0.014144814540361855,5000
Two-Locus Tennessen,233,42,0.002595024211399737,-0.018820300976281526,0.0141424595781427,5000
Two-Locus Tennessen,233,42,0.00271858824273294,-0.019852396400200943,0.014142177234860647,5000
Two-Locus Tennessen,233,42,0.002848035868435802,-0.017048433328227027,0.014142909139769826,5000
Two-Locus Tennessen,233,42,0.0029836472402833404,-0.01529102225000452,0.014143311147952628,5000
Two-Locus Tennessen,233,42,0.0031257158496882354,-0.016577666132716492,0.014143021113453965,5000
Two-Locus Tennessen,233,42,0.0032745491628777316,-0.007295717871145904,0.01414458844410293,5000
Two-Locus Tennessen,233,42,0.003430469286314919,-0.0020881303759179176,0.014144934061569503,5000
Two-Locus Tennessen,233,42,0.003593813663804626,-0.0384616600311556,0.014134498709294036,5000
Two-Locus Tennessen,233,42,0.0037649358067924714,-0.0020444162491983307,0.0141449353392209,5000
Two-Locus Tennessen,233,42,0.003944206059437656,-0.008294346189160813,0.014144478331531613,5000
Two-Locus Tennessen,233,42,0.0041320124001153384,-0.012628916977215035,0.014143836867686662,5000
Two-Locus Tennessen,233,42,0.004328761281083062,-0.006001165239470842,0.014144710189102044,5000
Two-Locus Tennessen,233,42,0.004534878508128582,-0.011196466195849483,0.014144078259429583,5000
Two-Locus Tennessen,233,42,0.0047508101621027985,-0.006976177734270424,0.014144620698581021,5000
Two-Locus Tennessen,233,42,0.004977023564332114,-0.009325090351753785,0.014144349882247078,5000
Two-Locus Tennessen,233,42,0.005214008287999685,-0.00044567831588587694,0.014144963494865449,5000
Two-Locus Tennessen,233,42,0.0054622772176843425,0.011595454905256833,0.014144013940082318,5000
Two-Locus Tennessen,233,42,0.00572236765935022,0.0037423186869033555,0.014144865849562871,5000
Two-Locus Tennessen,233,42,0.005994842503189409,-0.005827310101313625,0.014144724733500869,5000
Two-Locus Tennessen,233,42,0.00628029144183426,0.017261014526378023,0.014142857548719119,5000
Two-Locus Tennessen,233,42,0.006579332246575682,-0.005260780990749031,0.014144769161585044,5000
Two-Locus Tennessen,233,42,0.006892612104349695,0.0012358488702292442,0.014144954097701569,5000
Two-Locus Tennessen,233,42,0.007220809018385471,-0.021858501453223364,0.01414158530564472,5000
Two-Locus Tennessen,233,42,0.007564633275546291,-0.0032624944026881544,0.014144889620884614,5000
Two-Locus Tennessen,233,42,0.007924828983539177,0.007340320857158975,0.014144583826984738,5000
Two-Locus Tennessen,233,42,0.008302175681319753,0.012083065140839159,0.014143932276260892,5000
Two-Locus Tennessen,233,42,0.008697490026177835,0.0008755676327305495,0.01414495947776858,5000
Two-Locus Tennessen,233,42,0.009111627561154896,-0.004520222389494424,0.01414482039106429,5000
Two-Locus Tennessen,233,42,0.009545484566618348,-0.006341635543655,0.014144680467438516,5000
Two-Locus Tennessen,233,42,0.01,-0.014889182116153008,0.014143396930082644,5000
Two-Locus Tennessen,1500,42,0.0001,0.06367221814822145,0.014116262865154088,5000
Two-Locus Tennessen,1500,42,0.00010476157527896651,0.02944164205131221,0.014138833070055591,5000
Two-Locus Tennessen,1500,42,0.00010974987654930556,0.05450483165692158,0.014123938505982616,5000
Two-Locus Tennessen,1500,42,0.00011497569953977356,0.04189453271077438,0.014132546167278466,5000
Two-Locus Tennessen,1500,42,0.00012045035402587823,0.03363921393754753,0.014136959436384303,5000
Two-Locus Tennessen,1500,42,0.0001261856883066021,0.02774568428039072,0.014139519291796444,5000
Two-Locus Tennessen,1500,42,0.00013219411484660288,0.03560361222980831,0.014135996856326997,5000
Two-Locus Tennessen,1500,42,0.00013848863713938732,0.04398891782502748,0.014131272843257426,5000
Two-Locus Tennessen,1500,42,0.000145082877849594,-0.006345854759634142,0.014144680088831987,5000
Two-Locus Tennessen,1500,42,0.0001519911082952933,0.043829410062838275,0.014131372008147042,5000
Two-Locus Tennessen,1500,42,0.00015922827933410923,0.056506222984867405,0.014122364739204541,5000
Two-Locus Tennessen,1500,42,0.0001668100537200059,0.03944295448318545,0.0141339576259304,5000
Two-Locus Tennessen,1500,42,0.0001747528400007683,0.02511473874357331,0.01414050322697793,5000
Two-Locus Tennessen,1500,42,0.0001830738280295368,0.0222093412999357,0.0141414759331702,5000
Two-Locus Tennessen,1500,42,0.00019179102616724886,0.029014234102725155,0.014139009848065032,5000
Two-Locus Tennessen,1500,42,0.00020092330025650479,0.04155638600053852,0.0141327459171733,5000
Two-Locus Tennessen,1500,42,0.00021049041445120198,0.042355983436956096,0.014132270962815715,5000
Two-Locus Tennessen,1500,42,0.00022051307399030456,0.032635067885094474,0.0141374303621176,5000
Two-Locus Tennessen,1500,42,0.00023101297000831605,0.009683340553278888,0.014144301718062382,5000
Two-Locus Tennessen,1500,42,0.00024201282647943835,0.03978525931177135,0.014133765668111364,5000
Two-Locus Tennessen,1500,42,0.00025353644939701115,0.022511839278171072,0.014141380232226688,5000
Two-Locus Tennessen,1500,42,0.00026560877829466864,0.02548954324673978,0.014140369042273091,5000
Two-Locus Tennessen,1500,42,0.0002782559402207126,0.03791537676996009,0.0141347940134124,5000
Two-Locus Tennessen,1500,42,0.0002915053062825176,0.034268957735271194,0.014136656808929084,5000
Two-Locus Tennessen,1500,42,0.0003053855508833416,0.00377580148373006,0.014144864069210622,5000
Two-Locus Tennessen,1500,42,0.00031992671377973844,0.012550914667298402,0.014143850759744617,5000
Two-Locus Tennessen,1500,42,0.0003351602650938841,0.012748821493184147,0.014143815345058526,5000
Two-Locus Tennessen,1500,42,0.0003511191734215131,-0.009163419313176822,0.014144371023200536,5000
Two-Locus Tennessen,1500,42,0.0003678379771828634,0.016873831307890858,0.01414295103537427,5000
Two-Locus Tennessen,1500,42,0.0003853528593710527,-0.0015136998270606852,0.01414494869456922,5000
Two-Locus Tennessen,1500,42,0.0004037017258596554,0.0021944341129048117,0.014144930841796029,5000
Two-Locus Tennessen,1500,42,0.0004229242874389499,-0.005602338592786146,0.014144742919592525,5000
Two-Locus Tennessen,1500,42,0.0004430621457583882,0.027048715618435443,0.014139789491198968,5000
Two-Locus Tennessen,1500,42,0.0004641588833612782,0.016112407152143418,0.014143128695690847,5000
Two-Locus Tennessen,1500,42,0.00048626015800653534,0.001834858540368117,0.014144941088678604,5000
Two-Locus Tennessen,1500,42,0.000509413801481638,0.005212343336622102,0.014144772749459135,5000
Two-Locus Tennessen,1500,42,0.0005336699231206312,0.0012054004179381894,0.014144954623415584,5000
Two-Locus Tennessen,1500,42,0.0005590810182512223,0.011711267997151588,0.01414399484857409,5000
Two-Locus Tennessen,1500,42,0.0005857020818056667,0.02815698337855487,0.014139356612645844,5000
Two-Locus Tennessen,1500,42,0.0006135907273413176,0.014260007379577177,0.014143526652726238,5000
Two-Locus Tennessen,1500,42,0.0006428073117284319,0.03461359502775978,0.014136488812085714,5000
Two-Locus Tennessen,1500,42,0.0006734150657750821,0.05524893445023344,0.014123360038175404,5000
Two-Locus Tennessen,1500,42,0.0007054802310718645,0.04833306876028802,0.014128433315269612,5000
Two-Locus Tennessen,1500,42,0.0007390722033525775,0.027598073292920095,0.014139577091491605,5000
Two-Locus Tennessen,1500,42,0.000774263682681127,0.0066139830892335445,0.01414465551214882,5000
Two-Locus Tennessen,1500,42,0.0008111308307896872,0.00266717827091587,0.014144914587069249,5000
Two-Locus Tennessen,1500,42,0.0008497534359086447,-0.002244434742410481,0.014144929272081296,5000
Two-Locus Tennessen,1500,42,0.0008902150854450393,-0.003886573169165198,0.014144858066226243,5000
Two-Locus Tennessen,1500,42,0.0009326033468832199,-0.0015912012642854548,0.014144946992685327,5000
Two-Locus Tennessen,1500,42,0.0009770099572992256,0.003320567535887476,0.014144886917066765,5000
Two-Locus Tennessen,1500,42,0.001023531021899027,0.0023258853426621844,0.014144926639305243,5000
Two-Locus Tennessen,1500,42,0.0010722672220103231,-0.00035107884726232465,0.014144964027938326,5000
Two-Locus Tennessen,1500,42,0.0011233240329780276,-0.022075765074300722,0.014141517780257132,5000
Two-Locus Tennessen,1500,42,0.0011768119524349992,0.03267688260178925,0.014137411036855927,5000
Two-Locus Tennessen,1500,42,0.0012328467394420659,-0.013397445044259458,0.014143695391975663,5000
Two-Locus Tennessen,1500,42,0.001291549665014884,0.010493411816205257,0.014144186115221898,5000
Two-Locus Tennessen,1500,42,0.0013530477745798076,0.01771127710735634,0.014142746163325615,5000
Two-Locus Tennessen,1500,42,0.0014174741629268048,0.02430421913350968,0.014140786602051245,5000
Two-Locus Tennessen,1500,42,0.001484968262254465,-0.012463008477886213,0.014143866312491865,5000
Two-Locus Tennessen,1500,42,0.0015556761439304723,0.005101522693982838,0.014144780833338134,5000
Two-Locus Tennessen,1500,42,0.0016297508346206436,-0.0187550997546335,0.014142476908515068,5000
Two-Locus Tennessen,1500,42,0.0017073526474706922,0.015146071418848796,0.014143342354524899,5000
Two-Locus Tennessen,1500,42,0.001788649529057435,0.008390621199928798,0.014144466970286483,5000
Two-Locus Tennessen,1500,42,0.001873817422860385,0.029971607276175864,0.014138610280778138,5000
Two-Locus Tennessen,1500,42,0.0019630406500402726,-0.004352712981561883,0.014144830902999506,5000
Two-Locus Tennessen,1500,42,0.0020565123083486517,-0.001535906362586647,0.014144948215611748,5000
Two-Locus Tennessen,1500,42,0.0021544346900318843,0.00811882686302908,0.014144498706830887,5000
Two-Locus Tennessen,1500,42,0.0022570197196339213,-0.03095306403472856,0.014138187185779244,5000
Two-Locus Tennessen,1500,42,0.002364489412645407,0.009064730970673958,0.014144383746459677,5000
Two-Locus Tennessen,1500,42,0.0024770763559917113,0.0036189074584043386,0.014144872274659395,5000
Two-Locus Tennessen,1500,42,0.002595024211399737,-0.009551258502171922,0.014144319686855445,5000
Two-Locus Tennessen,1500,42,0.00271858824273294,-0.003487674501638334,0.014144878870623812,5000
Two-Locus Tennessen,1500,42,0.002848035868435802,-0.013905128614249482,0.014143597350676081,5000
Two-Locus Tennessen,1500,42,0.0029836472402833404,-0.004728809984713699,0.0141448067464488,5000
Two-Locus Tennessen,1500,42,0.0031257158496882354,-0.022105179496887225,0.014141508586919843,5000
Two-Locus Tennessen,1500,42,0.0032745491628777316,0.002545408372174704,0.01414491907624477,5000
Two-Locus Tennessen,1500,42,0.003430469286314919,0.016933845902680506,0.014142936683581778,5000
Two-Locus Tennessen,1500,42,0.003593813663804626,0.016505580639908455,0.0141430379823748,5000
Two-Locus Tennessen,1500,42,0.0037649358067924714,0.01123905164117214,0.014144071501767101,5000
Two-Locus Tennessen,1500,42,0.003944206059437656,-0.0005040840180465942,0.01414496310254394,5000
Two-Locus Tennessen,1500,42,0.0041320124001153384,0.0034648404701592087,0.014144879993415092,5000
Two-Locus Tennessen,1500,42,0.004328761281083062,-0.0015658916417951693,0.014144947557811536,5000
Two-Locus Tennessen,1500,42,0.004534878508128582,-0.008387063897901111,0.01414446739241038,5000
Two-Locus Tennessen,1500,42,0.0047508101621027985,-0.01037878969757645,0.014144203036463292,5000
Two-Locus Tennessen,1500,42,0.004977023564332114,-0.0024360965547297266,0.014144922927487624,5000
Two-Locus Tennessen,1500,42,0.005214008287999685,-0.019715063667813844,0.014142215673598612,5000
Two-Locus Tennessen,1500,42,0.0054622772176843425,0.0004954188281205694,0.014144963163797883,5000
Two-Locus Tennessen,1500,42,0.00572236765935022,0.007718788741456192,0.014144543517010184,5000
Two-Locus Tennessen,1500,42,0.005994842503189409,-0.01141981474207932,0.014144042531819114,5000
Two-Locus Tennessen,1500,42,0.00628029144183426,-0.0014140299953956544,0.014144950758366642,5000
Two-Locus Tennessen,1500,42,0.006579332246575682,-0.0036637167229336613,0.014144869966687732,5000
Two-Locus Tennessen,1500,42,0.006892612104349695,-0.00823250171833275,0.014144485560521466,5000
Two-Locus Tennessen,1500,42,0.007220809018385471,0.008392330138282375,0.014144466767433264,5000
Two-Locus Tennessen,1500,42,0.007564633275546291,0.035475220156618845,0.01413606144030881,5000
Two-Locus Tennessen,1500,42,0.007924828983539177,0.033286118598288984,0.014137126660032896,5000
Two-Locus Tennessen,1500,42,0.008302175681319753,-0.0011640319994430568,0.01414495531665848,5000
Two-Locus Tennessen,1500,42,0.008697490026177835,0.0070009799325167574,0.014144618246744425,5000
Two-Locus Tennessen,1500,42,0.009111627561154896,0.0011448775402823686,0.014144955629445684,5000
Two-Locus Tennessen,1500,42,0.009545484566618348,0.025595774124991717,0.014140330648528992,5000
Two-Locus Tennessen,1500,42,0.01,0.0032720334805925147,0.014144889180030592,5000
